,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_modality,company_location,company_size
0,2020,Intermediate,FT,Data Scientist,70000,EUR,79833,DE,On site,DE,L
1,2020,Senior,FT,Machine Learning Scientist,260000,USD,260000,JP,On site,JP,S
2,2020,Senior,FT,Big Data Engineer,85000,GBP,109024,GB,Hybrid,GB,M
3,2020,Intermediate,FT,Product Data Analyst,20000,USD,20000,HN,On site,HN,S
4,2020,Senior,FT,Machine Learning Engineer,150000,USD,150000,US,Hybrid,US,L
5,2020,Junior,FT,Data Analyst,72000,USD,72000,US,Remote,US,L
6,2020,Senior,FT,Lead Data Scientist,190000,USD,190000,US,Remote,US,S
7,2020,Intermediate,FT,Data Scientist,11000000,HUF,35735,HU,Hybrid,HU,L
8,2020,Intermediate,FT,Business Data Analyst,135000,USD,135000,US,Remote,US,L
9,2020,Senior,FT,Lead Data Engineer,125000,USD,125000,NZ,Hybrid,NZ,S
10,2020,Junior,FT,Data Scientist,45000,EUR,51321,FR,On site,FR,S
11,2020,Intermediate,FT,Data Scientist,3000000,INR,40481,IN,On site,IN,L
12,2020,Junior,FT,Data Scientist,35000,EUR,39916,FR,On site,FR,M
13,2020,Intermediate,FT,Lead Data Analyst,87000,USD,87000,US,Remote,US,L
14,2020,Intermediate,FT,Data Analyst,85000,USD,85000,US,Remote,US,L
15,2020,Intermediate,FT,Data Analyst,8000,USD,8000,PK,Hybrid,PK,L
16,2020,Junior,FT,Data Engineer,4450000,JPY,41689,JP,Remote,JP,S
17,2020,Senior,FT,Big Data Engineer,100000,EUR,114047,PL,Remote,GB,S
18,2020,Junior,FT,Data Science Consultant,423000,INR,5707,IN,Hybrid,IN,M
19,2020,Intermediate,FT,Lead Data Engineer,56000,USD,56000,PT,Remote,US,M
20,2020,Intermediate,FT,Machine Learning Engineer,299000,CNY,43331,CN,On site,CN,M
21,2020,Intermediate,FT,Product Data Analyst,450000,INR,6072,IN,Remote,IN,L
22,2020,Senior,FT,Data Engineer,42000,EUR,47899,GR,Hybrid,GR,L
23,2020,Intermediate,FT,BI Data Analyst,98000,USD,98000,US,On site,US,M
24,2020,Intermediate,FT,Lead Data Scientist,115000,USD,115000,AE,On site,AE,L
25,2020,Executive,FT,Director of Data Science,325000,USD,325000,US,Remote,US,L
26,2020,Junior,FT,Research Scientist,42000,USD,42000,NL,Hybrid,NL,L
27,2020,Senior,FT,Data Engineer,720000,MXN,33511,MX,On site,MX,S
28,2020,Junior,CT,Business Data Analyst,100000,USD,100000,US,Remote,US,L
29,2020,Senior,FT,Machine Learning Manager,157000,CAD,117104,CA,Hybrid,CA,L
30,2020,Intermediate,FT,Data Engineering Manager,51999,EUR,59303,DE,Remote,DE,S
31,2020,Junior,FT,Big Data Engineer,70000,USD,70000,US,Remote,US,L
32,2020,Senior,FT,Data Scientist,60000,EUR,68428,GR,Remote,US,L
33,2020,Intermediate,FT,Research Scientist,450000,USD,450000,US,On site,US,M
34,2020,Intermediate,FT,Data Analyst,41000,EUR,46759,FR,Hybrid,FR,L
35,2020,Intermediate,FT,Data Engineer,65000,EUR,74130,AT,Hybrid,AT,L
36,2020,Intermediate,FT,Data Science Consultant,103000,USD,103000,US,Remote,US,L
37,2020,Junior,FT,Machine Learning Engineer,250000,USD,250000,US,Hybrid,US,L
38,2020,Junior,FT,Data Analyst,10000,USD,10000,NG,Remote,NG,S
39,2020,Junior,FT,Machine Learning Engineer,138000,USD,138000,US,Remote,US,S
40,2020,Intermediate,FT,Data Scientist,45760,USD,45760,PH,Remote,US,S
41,2020,Executive,FT,Data Engineering Manager,70000,EUR,79833,ES,Hybrid,ES,L
42,2020,Intermediate,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,On site,PT,M
43,2020,Intermediate,FT,Data Engineer,106000,USD,106000,US,Remote,US,L
44,2020,Intermediate,FT,Data Engineer,88000,GBP,112872,GB,Hybrid,GB,L
45,2020,Junior,PT,ML Engineer,14000,EUR,15966,DE,Remote,DE,S
46,2020,Intermediate,FT,Data Scientist,60000,GBP,76958,GB,Remote,GB,S
47,2020,Senior,FT,Data Engineer,188000,USD,188000,US,Remote,US,L
48,2020,Intermediate,FT,Data Scientist,105000,USD,105000,US,Remote,US,L
49,2020,Intermediate,FT,Data Engineer,61500,EUR,70139,FR,Hybrid,FR,L
50,2020,Junior,FT,Data Analyst,450000,INR,6072,IN,On site,IN,S
51,2020,Junior,FT,Data Analyst,91000,USD,91000,US,Remote,US,L
52,2020,Junior,FT,AI Scientist,300000,DKK,45896,DK,Hybrid,DK,S
53,2020,Junior,FT,Data Engineer,48000,EUR,54742,PK,Remote,DE,L
54,2020,Senior,FL,Computer Vision Engineer,60000,USD,60000,RU,Remote,US,S
55,2020,Senior,FT,Principal Data Scientist,130000,EUR,148261,DE,Remote,DE,M
56,2020,Intermediate,FT,Data Scientist,34000,EUR,38776,ES,Remote,ES,M
57,2020,Intermediate,FT,Data Scientist,118000,USD,118000,US,Remote,US,M
58,2020,Senior,FT,Data Scientist,120000,USD,120000,US,Hybrid,US,L
59,2020,Intermediate,FT,Data Scientist,138350,USD,138350,US,Remote,US,M
60,2020,Intermediate,FT,Data Engineer,110000,USD,110000,US,Remote,US,L
61,2020,Intermediate,FT,Data Engineer,130800,USD,130800,ES,Remote,US,M
62,2020,Junior,PT,Data Scientist,19000,EUR,21669,IT,Hybrid,IT,S
63,2020,Senior,FT,Data Scientist,412000,USD,412000,US,Remote,US,L
64,2020,Senior,FT,Machine Learning Engineer,40000,EUR,45618,HR,Remote,HR,S
65,2020,Junior,FT,Data Scientist,55000,EUR,62726,DE,Hybrid,DE,S
66,2020,Junior,FT,Data Scientist,43200,EUR,49268,DE,On site,DE,S
67,2020,Senior,FT,Data Science Manager,190200,USD,190200,US,Remote,US,M
68,2020,Junior,FT,Data Scientist,105000,USD,105000,US,Remote,US,S
69,2020,Senior,FT,Data Scientist,80000,EUR,91237,AT,On site,AT,S
70,2020,Intermediate,FT,Data Scientist,55000,EUR,62726,FR,Hybrid,LU,S
71,2020,Intermediate,FT,Data Scientist,37000,EUR,42197,FR,Hybrid,FR,S
72,2021,Junior,FT,Research Scientist,60000,GBP,82528,GB,Hybrid,GB,L
73,2021,Executive,FT,BI Data Analyst,150000,USD,150000,IN,Remote,US,L
74,2021,Executive,FT,Head of Data,235000,USD,235000,US,Remote,US,L
75,2021,Senior,FT,Data Scientist,45000,EUR,53192,FR,Hybrid,FR,L
76,2021,Intermediate,FT,BI Data Analyst,100000,USD,100000,US,Remote,US,M
77,2021,Intermediate,PT,3D Computer Vision Researcher,400000,INR,5409,IN,Hybrid,IN,M
78,2021,Intermediate,CT,ML Engineer,270000,USD,270000,US,Remote,US,L
79,2021,Junior,FT,Data Analyst,80000,USD,80000,US,Remote,US,M
80,2021,Senior,FT,Data Analytics Engineer,67000,EUR,79197,DE,Remote,DE,L
81,2021,Intermediate,FT,Data Engineer,140000,USD,140000,US,Remote,US,L
82,2021,Intermediate,FT,Applied Data Scientist,68000,CAD,54238,GB,Hybrid,CA,L
83,2021,Intermediate,FT,Machine Learning Engineer,40000,EUR,47282,ES,Remote,ES,S
84,2021,Executive,FT,Director of Data Science,130000,EUR,153667,IT,Remote,PL,L
85,2021,Intermediate,FT,Data Engineer,110000,PLN,28476,PL,Remote,PL,L
86,2021,Junior,FT,Data Analyst,50000,EUR,59102,FR,Hybrid,FR,M
87,2021,Intermediate,FT,Data Analytics Engineer,110000,USD,110000,US,Remote,US,L
88,2021,Senior,FT,Lead Data Analyst,170000,USD,170000,US,Remote,US,L
89,2021,Senior,FT,Data Analyst,80000,USD,80000,BG,Remote,US,S
90,2021,Senior,FT,Marketing Data Analyst,75000,EUR,88654,GR,Remote,DK,L
91,2021,Junior,FT,Data Science Consultant,65000,EUR,76833,DE,Remote,DE,S
92,2021,Intermediate,FT,Lead Data Analyst,1450000,INR,19609,IN,Remote,IN,L
93,2021,Senior,FT,Lead Data Engineer,276000,USD,276000,US,On site,US,L
94,2021,Junior,FT,Data Scientist,2200000,INR,29751,IN,Hybrid,IN,L
95,2021,Intermediate,FT,Cloud Data Engineer,120000,SGD,89294,SG,Hybrid,SG,L
96,2021,Junior,PT,AI Scientist,12000,USD,12000,BR,Remote,US,S
97,2021,Intermediate,FT,Financial Data Analyst,450000,USD,450000,US,Remote,US,L
98,2021,Junior,FT,Computer Vision Software Engineer,70000,USD,70000,US,Remote,US,M
99,2021,Intermediate,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,Remote,US,S
100,2021,Intermediate,FT,Data Analyst,75000,USD,75000,US,On site,US,L
101,2021,Senior,FT,Data Engineer,150000,USD,150000,US,Remote,US,L
102,2021,Intermediate,FT,BI Data Analyst,11000000,HUF,36259,HU,Hybrid,US,L
103,2021,Intermediate,FT,Data Analyst,62000,USD,62000,US,On site,US,L
104,2021,Intermediate,FT,Data Scientist,73000,USD,73000,US,On site,US,L
105,2021,Intermediate,FT,Data Analyst,37456,GBP,51519,GB,Hybrid,GB,L
106,2021,Intermediate,FT,Research Scientist,235000,CAD,187442,CA,Remote,CA,L
107,2021,Senior,FT,Data Engineer,115000,USD,115000,US,Remote,US,S
108,2021,Senior,FT,Data Engineer,150000,USD,150000,US,Remote,US,M
109,2021,Junior,FT,Data Engineer,2250000,INR,30428,IN,Remote,IN,L
110,2021,Senior,FT,Machine Learning Engineer,80000,EUR,94564,DE,Hybrid,DE,L
111,2021,Senior,FT,Director of Data Engineering,82500,GBP,113476,GB,Remote,GB,M
112,2021,Senior,FT,Lead Data Engineer,75000,GBP,103160,GB,Remote,GB,S
113,2021,Junior,PT,AI Scientist,12000,USD,12000,PK,Remote,US,M
114,2021,Intermediate,FT,Data Engineer,38400,EUR,45391,NL,Remote,NL,L
115,2021,Junior,FT,Machine Learning Scientist,225000,USD,225000,US,Remote,US,L
116,2021,Intermediate,FT,Data Scientist,50000,USD,50000,NG,Remote,NG,L
117,2021,Intermediate,FT,Data Science Engineer,34000,EUR,40189,GR,Remote,GR,M
118,2021,Junior,FT,Data Analyst,90000,USD,90000,US,Remote,US,S
119,2021,Intermediate,FT,Data Engineer,200000,USD,200000,US,Remote,US,L
120,2021,Intermediate,FT,Big Data Engineer,60000,USD,60000,ES,Hybrid,RO,M
121,2021,Senior,FT,Principal Data Engineer,200000,USD,200000,US,Remote,US,M
122,2021,Junior,FT,Data Analyst,50000,USD,50000,US,Remote,US,M
123,2021,Junior,FT,Applied Data Scientist,80000,GBP,110037,GB,On site,GB,L
124,2021,Junior,PT,Data Analyst,8760,EUR,10354,ES,Hybrid,ES,M
125,2021,Intermediate,FT,Principal Data Scientist,151000,USD,151000,US,Remote,US,L
126,2021,Senior,FT,Machine Learning Scientist,120000,USD,120000,US,Hybrid,US,S
127,2021,Intermediate,FT,Data Scientist,700000,INR,9466,IN,On site,IN,S
128,2021,Junior,FT,Machine Learning Engineer,20000,USD,20000,IN,Remote,IN,S
129,2021,Senior,FT,Lead Data Scientist,3000000,INR,40570,IN,Hybrid,IN,L
130,2021,Junior,FT,Machine Learning Developer,100000,USD,100000,IQ,Hybrid,IQ,S
131,2021,Junior,FT,Data Scientist,42000,EUR,49646,FR,Hybrid,FR,M
132,2021,Intermediate,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,Remote,US,M
133,2021,Senior,FT,Computer Vision Engineer,24000,USD,24000,BR,Remote,BR,M
134,2021,Junior,FT,Data Scientist,100000,USD,100000,US,On site,US,S
135,2021,Intermediate,FT,Data Analyst,90000,USD,90000,US,Remote,US,M
136,2021,Intermediate,FT,ML Engineer,7000000,JPY,63711,JP,Hybrid,JP,S
137,2021,Intermediate,FT,ML Engineer,8500000,JPY,77364,JP,Hybrid,JP,S
138,2021,Senior,FT,Principal Data Scientist,220000,USD,220000,US,On site,US,L
139,2021,Junior,FT,Data Scientist,80000,USD,80000,US,Remote,US,M
140,2021,Intermediate,FT,Data Analyst,135000,USD,135000,US,Remote,US,L
141,2021,Senior,FT,Data Science Manager,240000,USD,240000,US,On site,US,L
142,2021,Senior,FT,Data Engineering Manager,150000,USD,150000,US,On site,US,L
143,2021,Intermediate,FT,Data Scientist,82500,USD,82500,US,Remote,US,S
144,2021,Intermediate,FT,Data Engineer,100000,USD,100000,US,Remote,US,L
145,2021,Senior,FT,Machine Learning Engineer,70000,EUR,82744,BE,Hybrid,BE,M
146,2021,Intermediate,FT,Research Scientist,53000,EUR,62649,FR,Hybrid,FR,M
147,2021,Intermediate,FT,Data Engineer,90000,USD,90000,US,Remote,US,L
148,2021,Senior,FT,Data Engineering Manager,153000,USD,153000,US,Remote,US,L
149,2021,Senior,FT,Cloud Data Engineer,160000,USD,160000,BR,Remote,US,S
150,2021,Senior,FT,Director of Data Science,168000,USD,168000,JP,On site,JP,S
151,2021,Intermediate,FT,Data Scientist,150000,USD,150000,US,Remote,US,M
152,2021,Intermediate,FT,Data Scientist,95000,CAD,75774,CA,Remote,CA,L
153,2021,Junior,FT,Data Scientist,13400,USD,13400,UA,Remote,UA,L
154,2021,Senior,FT,Data Science Manager,144000,USD,144000,US,Remote,US,L
155,2021,Senior,FT,Data Science Engineer,159500,CAD,127221,CA,Hybrid,CA,L
156,2021,Intermediate,FT,Data Scientist,160000,SGD,119059,SG,Remote,IL,M
157,2021,Intermediate,FT,Applied Machine Learning Scientist,423000,USD,423000,US,Hybrid,US,L
158,2021,Senior,FT,Data Analytics Manager,120000,USD,120000,US,Remote,US,M
159,2021,Junior,FT,Machine Learning Engineer,125000,USD,125000,US,Remote,US,S
160,2021,Executive,FT,Head of Data,230000,USD,230000,RU,Hybrid,RU,L
161,2021,Executive,FT,Head of Data Science,85000,USD,85000,RU,On site,RU,M
162,2021,Intermediate,FT,Data Engineer,24000,EUR,28369,MT,Hybrid,MT,L
163,2021,Junior,FT,Data Science Consultant,54000,EUR,63831,DE,Hybrid,DE,L
164,2021,Executive,FT,Director of Data Science,110000,EUR,130026,DE,Hybrid,DE,M
165,2021,Senior,FT,Data Specialist,165000,USD,165000,US,Remote,US,L
166,2021,Junior,FT,Data Engineer,80000,USD,80000,US,Remote,US,L
167,2021,Executive,FT,Director of Data Science,250000,USD,250000,US,On site,US,L
168,2021,Junior,FT,BI Data Analyst,55000,USD,55000,US,Hybrid,US,S
169,2021,Intermediate,FT,Data Architect,150000,USD,150000,US,Remote,US,L
170,2021,Intermediate,FT,Data Architect,170000,USD,170000,US,Remote,US,L
171,2021,Intermediate,FT,Data Engineer,60000,GBP,82528,GB,Remote,GB,L
172,2021,Junior,FT,Data Analyst,60000,USD,60000,US,Remote,US,S
173,2021,Senior,FT,Principal Data Scientist,235000,USD,235000,US,Remote,US,L
174,2021,Senior,FT,Research Scientist,51400,EUR,60757,PT,Hybrid,PT,L
175,2021,Senior,FT,Data Engineering Manager,174000,USD,174000,US,Remote,US,L
176,2021,Intermediate,FT,Data Scientist,58000,MXN,2859,MX,On site,MX,S
177,2021,Intermediate,FT,Data Scientist,30400000,CLP,40038,CL,Remote,CL,L
178,2021,Junior,FT,Machine Learning Engineer,81000,USD,81000,US,Hybrid,US,S
179,2021,Intermediate,FT,Data Scientist,420000,INR,5679,IN,Remote,US,S
180,2021,Intermediate,FT,Big Data Engineer,1672000,INR,22611,IN,On site,IN,L
181,2021,Intermediate,FT,Data Scientist,76760,EUR,90734,DE,Hybrid,DE,L
182,2021,Intermediate,FT,Data Engineer,22000,EUR,26005,RO,On site,US,L
183,2021,Senior,FT,Finance Data Analyst,45000,GBP,61896,GB,Hybrid,GB,L
184,2021,Intermediate,FL,Machine Learning Scientist,12000,USD,12000,PK,Hybrid,PK,M
185,2021,Intermediate,FT,Data Engineer,4000,USD,4000,IR,Remote,IR,M
186,2021,Senior,FT,Data Analytics Engineer,50000,USD,50000,VN,Remote,GB,M
187,2021,Executive,FT,Data Science Consultant,59000,EUR,69741,FR,Remote,ES,S
188,2021,Senior,FT,Data Engineer,65000,EUR,76833,RO,Hybrid,GB,S
189,2021,Intermediate,FT,Machine Learning Engineer,74000,USD,74000,JP,Hybrid,JP,S
190,2021,Senior,FT,Data Science Manager,152000,USD,152000,US,Remote,FR,L
191,2021,Junior,FT,Machine Learning Engineer,21844,USD,21844,CO,Hybrid,CO,M
192,2021,Intermediate,FT,Big Data Engineer,18000,USD,18000,MD,On site,MD,S
193,2021,Senior,FT,Data Science Manager,174000,USD,174000,US,Remote,US,L
194,2021,Senior,FT,Research Scientist,120500,CAD,96113,CA,Hybrid,CA,L
195,2021,Intermediate,FT,Data Scientist,147000,USD,147000,US,Hybrid,US,L
196,2021,Junior,FT,BI Data Analyst,9272,USD,9272,KE,Remote,KE,S
197,2021,Senior,FT,Machine Learning Engineer,1799997,INR,24342,IN,Remote,IN,L
198,2021,Senior,FT,Data Science Manager,4000000,INR,54094,IN,Hybrid,US,L
199,2021,Junior,FT,Data Science Consultant,90000,USD,90000,US,Remote,US,S
200,2021,Intermediate,FT,Data Scientist,52000,EUR,61467,DE,Hybrid,AT,M
201,2021,Senior,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,Remote,US,M
202,2021,Intermediate,FT,Data Scientist,32000,EUR,37825,ES,Remote,ES,L
203,2021,Senior,FT,Research Scientist,50000,USD,50000,FR,Remote,US,S
204,2021,Intermediate,FT,Data Scientist,160000,USD,160000,US,Remote,US,L
205,2021,Intermediate,FT,Data Scientist,69600,BRL,12901,BR,On site,BR,S
206,2021,Senior,FT,Machine Learning Engineer,200000,USD,200000,US,Remote,US,L
207,2021,Senior,FT,Data Engineer,165000,USD,165000,US,On site,US,M
208,2021,Intermediate,FL,Data Engineer,20000,USD,20000,IT,On site,US,L
209,2021,Senior,FT,Data Analytics Manager,120000,USD,120000,US,On site,US,L
210,2021,Intermediate,FT,Machine Learning Engineer,21000,EUR,24823,SI,Hybrid,SI,L
211,2021,Intermediate,FT,Research Scientist,48000,EUR,56738,FR,Hybrid,FR,S
212,2021,Intermediate,FT,Data Engineer,48000,GBP,66022,HK,Hybrid,GB,S
213,2021,Junior,FT,Big Data Engineer,435000,INR,5882,IN,On site,CH,L
214,2021,Junior,FT,Machine Learning Engineer,21000,EUR,24823,DE,Hybrid,DE,M
215,2021,Senior,FT,Principal Data Engineer,185000,USD,185000,US,Remote,US,L
216,2021,Junior,PT,Computer Vision Engineer,180000,DKK,28609,DK,Hybrid,DK,S
217,2021,Intermediate,FT,Data Scientist,76760,EUR,90734,DE,Hybrid,DE,L
218,2021,Intermediate,FT,Machine Learning Engineer,75000,EUR,88654,BE,Remote,BE,M
219,2021,Senior,FT,Data Analytics Manager,140000,USD,140000,US,Remote,US,L
220,2021,Intermediate,FT,Machine Learning Engineer,180000,PLN,46597,PL,Remote,PL,L
221,2021,Intermediate,FT,Data Scientist,85000,GBP,116914,GB,Hybrid,GB,L
222,2021,Intermediate,FT,Data Scientist,2500000,INR,33808,IN,On site,IN,M
223,2021,Intermediate,FT,Data Scientist,40900,GBP,56256,GB,Hybrid,GB,L
224,2021,Senior,FT,Machine Learning Scientist,225000,USD,225000,US,Remote,CA,L
225,2021,Executive,CT,Principal Data Scientist,416000,USD,416000,US,Remote,US,S
226,2021,Senior,FT,Data Scientist,110000,CAD,87738,CA,Remote,CA,S
227,2021,Intermediate,FT,Data Scientist,75000,EUR,88654,DE,Hybrid,DE,L
228,2021,Senior,FT,Data Scientist,135000,USD,135000,US,On site,US,L
229,2021,Senior,FT,Data Analyst,90000,CAD,71786,CA,Remote,CA,M
230,2021,Junior,FT,Big Data Engineer,1200000,INR,16228,IN,Remote,IN,L
231,2021,Senior,FT,ML Engineer,256000,USD,256000,US,Remote,US,S
232,2021,Senior,FT,Director of Data Engineering,200000,USD,200000,US,Remote,US,L
233,2021,Senior,FT,Data Analyst,200000,USD,200000,US,Remote,US,L
234,2021,Intermediate,FT,Data Architect,180000,USD,180000,US,Remote,US,L
235,2021,Intermediate,FT,Head of Data Science,110000,USD,110000,US,On site,US,S
236,2021,Intermediate,FT,Research Scientist,80000,CAD,63810,CA,Remote,CA,M
237,2021,Intermediate,FT,Data Scientist,39600,EUR,46809,ES,Remote,ES,M
238,2021,Junior,FT,Data Scientist,4000,USD,4000,VN,On site,VN,M
239,2021,Junior,FT,Data Engineer,1600000,INR,21637,IN,Hybrid,IN,M
240,2021,Senior,FT,Data Scientist,130000,CAD,103691,CA,Remote,CA,L
241,2021,Intermediate,FT,Data Analyst,80000,USD,80000,US,Remote,US,L
242,2021,Intermediate,FT,Data Engineer,110000,USD,110000,US,Remote,US,L
243,2021,Senior,FT,Data Scientist,165000,USD,165000,US,Remote,US,L
244,2021,Junior,FT,AI Scientist,1335000,INR,18053,IN,Remote,AS,S
245,2021,Intermediate,FT,Data Engineer,52500,GBP,72212,GB,Hybrid,GB,L
246,2021,Junior,FT,Data Scientist,31000,EUR,36643,FR,Hybrid,FR,L
247,2021,Intermediate,FT,Data Engineer,108000,TRY,12103,TR,On site,TR,M
248,2021,Senior,FT,Data Engineer,70000,GBP,96282,GB,Hybrid,GB,L
249,2021,Senior,FT,Principal Data Analyst,170000,USD,170000,US,Remote,US,M
250,2021,Intermediate,FT,Data Scientist,115000,USD,115000,US,Hybrid,US,L
251,2021,Junior,FT,Data Scientist,90000,USD,90000,US,Remote,US,S
252,2021,Executive,FT,Principal Data Engineer,600000,USD,600000,US,Remote,US,L
253,2021,Junior,FT,Data Scientist,2100000,INR,28399,IN,Remote,IN,M
254,2021,Intermediate,FT,Data Analyst,93000,USD,93000,US,Remote,US,L
255,2021,Senior,FT,Big Data Architect,125000,CAD,99703,CA,Hybrid,CA,M
256,2021,Intermediate,FT,Data Engineer,200000,USD,200000,US,Remote,US,L
257,2021,Senior,FT,Principal Data Scientist,147000,EUR,173762,DE,Remote,DE,M
258,2021,Senior,FT,Machine Learning Engineer,185000,USD,185000,US,Hybrid,US,L
259,2021,Executive,FT,Director of Data Science,120000,EUR,141846,DE,On site,DE,L
260,2021,Intermediate,FT,Data Scientist,130000,USD,130000,US,Hybrid,US,L
261,2021,Senior,FT,Data Analyst,54000,EUR,63831,DE,Hybrid,DE,L
262,2021,Intermediate,FT,Data Scientist,1250000,INR,16904,IN,Remote,IN,S
263,2021,Senior,FT,Machine Learning Engineer,4900000,INR,66265,IN,On site,IN,L
264,2021,Intermediate,FT,Data Scientist,21600,EUR,25532,RS,Remote,DE,S
265,2021,Senior,FT,Lead Data Engineer,160000,USD,160000,PR,Hybrid,US,S
266,2021,Intermediate,FT,Data Engineer,93150,USD,93150,US,On site,US,M
267,2021,Intermediate,FT,Data Engineer,111775,USD,111775,US,On site,US,M
268,2021,Intermediate,FT,Data Engineer,250000,TRY,28016,TR,Remote,TR,M
269,2021,Junior,FT,Data Engineer,55000,EUR,65013,DE,Hybrid,DE,M
270,2021,Junior,FT,Data Engineer,72500,USD,72500,US,Remote,US,L
271,2021,Senior,FT,Computer Vision Engineer,102000,BRL,18907,BR,On site,BR,M
272,2021,Junior,FT,Data Science Consultant,65000,EUR,76833,DE,On site,DE,L
273,2021,Junior,FT,Machine Learning Engineer,85000,USD,85000,NL,Remote,DE,S
274,2021,Senior,FT,Data Scientist,65720,EUR,77684,FR,Hybrid,FR,M
275,2021,Junior,FT,Data Scientist,100000,USD,100000,US,Remote,US,M
276,2021,Junior,FT,Data Scientist,58000,USD,58000,US,Hybrid,US,L
277,2021,Senior,FT,AI Scientist,55000,USD,55000,ES,Remote,ES,L
278,2021,Senior,FT,Data Scientist,180000,TRY,20171,TR,Hybrid,TR,L
279,2021,Junior,FT,Business Data Analyst,50000,EUR,59102,LU,Remote,LU,L
280,2021,Intermediate,FT,Data Engineer,112000,USD,112000,US,Remote,US,L
281,2021,Junior,FT,Research Scientist,100000,USD,100000,JE,On site,CN,L
282,2021,Intermediate,PT,Data Engineer,59000,EUR,69741,NL,Remote,NL,L
283,2021,Senior,CT,Staff Data Scientist,105000,USD,105000,US,Remote,US,M
284,2021,Intermediate,FT,Research Scientist,69999,USD,69999,CZ,Hybrid,CZ,L
285,2021,Senior,FT,Data Science Manager,7000000,INR,94665,IN,Hybrid,IN,L
286,2021,Senior,FT,Head of Data,87000,EUR,102839,SI,Remote,SI,L
287,2021,Intermediate,FT,Data Scientist,109000,USD,109000,US,Hybrid,US,L
288,2021,Intermediate,FT,Machine Learning Engineer,43200,EUR,51064,IT,Hybrid,IT,L
289,2022,Senior,FT,Data Engineer,135000,USD,135000,US,Remote,US,M
290,2022,Senior,FT,Data Analyst,155000,USD,155000,US,Remote,US,M
291,2022,Senior,FT,Data Analyst,120600,USD,120600,US,Remote,US,M
292,2022,Intermediate,FT,Data Scientist,130000,USD,130000,US,On site,US,M
293,2022,Intermediate,FT,Data Scientist,90000,USD,90000,US,On site,US,M
294,2022,Intermediate,FT,Data Engineer,170000,USD,170000,US,Remote,US,M
295,2022,Intermediate,FT,Data Engineer,150000,USD,150000,US,Remote,US,M
296,2022,Senior,FT,Data Analyst,102100,USD,102100,US,Remote,US,M
